document,topic,score
13092,2,0.16207153
5852,2,0.16205546
1636,2,0.16200589
14364,2,0.1618833
14873,2,0.16151267
3248,2,0.16129987
11760,2,0.16123463
10146,2,0.160862
9491,2,0.16081706
16637,2,0.16051163
7839,2,0.16031499
12924,2,0.15973675
976,2,0.15864156
13948,2,0.1584106
755,2,0.1583674
1785,2,0.15819365
6485,2,0.1579425
13748,2,0.1579401
7436,2,0.15730743
8978,2,0.15621372
13953,2,0.15597203
7479,2,0.15404768
10806,2,0.15344661
10828,2,0.15305339
1662,2,0.15293787
4208,2,0.15286772
16429,2,0.15280186
5994,2,0.1525625
3882,2,0.15244347
10348,2,0.15231024
5594,2,0.15197612
16733,2,0.15163387
12044,2,0.15154655
16532,2,0.1514891
10590,2,0.15147781
2126,2,0.15031819
18467,2,0.1501209
332,2,0.1498382
18565,2,0.14980477
14579,2,0.14975275
5342,2,0.1495861
664,2,0.14950536
16256,2,0.14931671
14377,2,0.14913315
16017,2,0.14860067
8533,2,0.14822036
5839,2,0.14821915
12828,2,0.14805098
8394,2,0.14754516
15072,2,0.1468073
5005,2,0.14612226
9440,2,0.14570518
9620,2,0.1449264
18488,2,0.14489403
4477,2,0.14459549
13638,2,0.14437664
2545,2,0.14436153
14736,2,0.14418796
6267,2,0.1440173
16416,2,0.14389624
37,2,0.14339963
3202,2,0.14333937
11643,2,0.14288677
4879,2,0.1425978
6206,2,0.14251994
4441,2,0.14223397
8475,2,0.1420271
5632,2,0.14181143
6969,2,0.14179386
6234,2,0.14171496
13842,2,0.14151977
5843,2,0.14149326
3117,2,0.14125955
12324,2,0.14123923
10428,2,0.14103897
11301,2,0.14072336
8611,2,0.14065553
3731,2,0.14042462
3078,2,0.13975355
7204,2,0.13965844
14927,2,0.13942999
13976,2,0.13940623
2835,2,0.139321
5097,2,0.13920197
255,2,0.13897796
9228,2,0.13873738
17739,2,0.1386548
2557,2,0.13855602
7457,2,0.13831657
4340,2,0.13753557
16713,2,0.13738112
18622,2,0.1367693
9213,2,0.13673012
2589,2,0.13662785
1085,2,0.13656765
3407,2,0.1363138
2702,2,0.13629678
9000,2,0.13615623
3568,2,0.13590619
633,2,0.13560551
17259,2,0.13551304
11764,2,0.13548651
14254,2,0.13508926
4171,2,0.13474128
9837,2,0.13470498
3454,2,0.13459828
3183,2,0.13446462
13958,2,0.13418128
2691,2,0.13414837
4389,2,0.13333708
3366,2,0.13282539
3028,2,0.13271134
14946,2,0.13248196
6143,2,0.13246787
18258,2,0.13243648
8734,2,0.13239768
4582,2,0.13224018
8587,2,0.13197128
12204,2,0.13189656
4201,2,0.13184585
5452,2,0.13159811
5195,2,0.13135627
14080,2,0.13087414
773,2,0.13070394
3892,2,0.1306838
14292,2,0.13034858
6109,2,0.13027437
13812,2,0.13015093
14226,2,0.13013448
17038,2,0.13007225
12769,2,0.12986577
4790,2,0.12950775
11848,2,0.12948829
5712,2,0.12927634
12137,2,0.12921621
5059,2,0.1287931
3990,2,0.1285488
3576,2,0.12816341
18767,2,0.12798329
18626,2,0.12790379
7599,2,0.12766874
94,2,0.12753211
13178,2,0.12715268
1451,2,0.1269707
16391,2,0.12672946
5506,2,0.12643026
1815,2,0.12636772
17899,2,0.12633766
7231,2,0.12559314
7618,2,0.1253666
14106,2,0.12525947
750,2,0.12525587
16316,2,0.12504558
14924,2,0.124953456
7144,2,0.124773785
12589,2,0.124757275
16906,2,0.124468885
7242,2,0.124096595
2585,2,0.12389751
1997,2,0.12367272
10120,2,0.123476855
2583,2,0.12311578
458,2,0.12302591
11684,2,0.12298531
